"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
8.1,0.17,0.44,14.1,0.053,43,100.5,1.0006,3.28,0.75,8.8,77.2143443584806
7.2,0.23,0.19,13.7,0.052,47,113.7,0.99865,3.12,0.53,9,47.0160808327428
7.6,0.3,0.27,10.6,0.039,31,73.9,0.99815,3.27,0.3,9.3,54.576195869575
7.7,0.34,0.28,11,0.04,31,73.7,0.99815,3.27,0.29,9.2,54.5244583358594
7.7,0.34,0.28,11,0.04,31,73.7,0.99815,3.27,0.29,9.2,54.5244583358594
5.8,0.34,0.16,7,0.037,26,63.6,0.9949,3.46,0.45,10,63.9223131921593
7.6,0.3,0.27,10.6,0.039,31,73.9,0.99815,3.27,0.3,9.3,54.576195869575
7.7,0.34,0.28,11,0.04,31,73.7,0.99815,3.27,0.29,9.2,54.5244583358594
5.9,0.24,0.3,2,0.033,28,65.2,0.99225,3.39,0.69,10.9,64.2822444046222
6.4,0.46,0.08,4.9,0.046,34,82.4,0.99445,3.1,0.56,10,44.4468680675692
5.9,0.24,0.3,2,0.033,28,65.2,0.99225,3.39,0.69,10.9,64.2822444046222
7.4,0.32,0.27,1.4,0.049,38,93.3,0.99335,3.03,0.52,9.3,45.2061913545113
7.2,0.31,0.26,7.3,0.05,37,89.7,0.99625,3.09,0.43,9,45.1814968623808
7.8,0.42,0.23,8.8,0.054,42,105.5,0.9971,3.02,0.58,9.2,56.0762303063396
6.9,0.24,0.33,12.5,0.046,47,109.3,0.9983,3.28,0.77,9.6,57.2414098614765
5.4,0.18,0.24,4.8,0.041,30,71.3,0.99445,3.42,0.4,9.4,54.4991672726307
6,0.18,0.31,1.4,0.036,14,35.5,0.99085,3.34,0.58,11.1,72.3639813096023
7.8,0.27,0.58,11.2,0.036,44,104.1,0.9977,3.06,0.41,8.9,56.6698547492839
6,0.28,0.49,6.8,0.048,61,144.2,0.9953,3.19,0.47,9.3,49.0438405883726
6.8,0.39,0.35,11.6,0.044,57,136,0.99775,3.07,0.53,9.3,48.3294560292043
6.6,0.21,0.31,11.4,0.039,46,108.5,0.99795,3.41,0.44,9.8,67.3684522144005
7.3,0.32,0.34,6.6,0.032,24,59.2,0.99505,3.22,0.46,9.8,53.3537475488677
7.8,0.27,0.58,11.2,0.036,44,104.1,0.9977,3.06,0.41,8.9,56.6698547492839
6.4,0.31,0.26,13.2,0.046,57,134.5,0.9975,3.17,0.41,9.6,48.4898636280032
6.2,0.29,0.26,13.1,0.046,55,130.4,0.99745,3.16,0.41,9.6,58.4396246321496
6,0.39,0.17,12,0.046,65,154.6,0.9976,3.15,0.38,9,59.8644839964532
6.2,0.3,0.26,13.4,0.046,57,134.6,0.99775,3.17,0.43,9.5,58.7502561585588
6,0.28,0.49,6.8,0.048,61,144.2,0.9953,3.19,0.47,9.3,49.0438405883726
6,0.41,0.05,1.5,0.063,17,46,0.9932,3.21,0.56,9.2,51.9936215076682
6.4,0.35,0.28,1.1,0.055,9,34,0.99405,3.42,0.5,9.1,61.0691250271749
6.5,0.26,0.32,16.5,0.045,44,104.6,1,3.38,0.46,9.5,56.824579790163
7.9,0.35,0.24,15.6,0.072,44,110.9,0.99785,3.03,0.59,10.5,56.6151911752281
6.2,0.3,0.17,2.8,0.04,24,60.5,0.9939,3.01,0.46,9,43.0403987232733
8.4,0.18,0.42,5.1,0.036,7,21.7,0.9939,3.16,0.52,11.7,40.5704286562069
6.6,0.56,0.22,8.9,0.034,27,67.3,0.99675,3.2,0.51,9.1,43.2811368997969
6.2,0.3,0.17,2.8,0.04,24,60.5,0.9939,3.01,0.46,9,43.0403987232733
6.6,0.56,0.22,8.9,0.034,27,67.3,0.99675,3.2,0.51,9.1,43.2811368997969
6.6,0.36,0.29,1.6,0.021,24,56.5,0.98965,3.41,0.61,12.4,83.9577525643251
7.3,0.655,0.2,10.2,0.071,28,77.2,0.9971,2.96,0.58,9.2,53.5127858729596
6.8,0.18,0.21,5.4,0.053,34,78.4,0.99445,3.3,0.43,9.4,44.8825737818434
6.7,0.19,0.23,6.2,0.047,36,83.7,0.9945,3.34,0.43,9.6,55.4522554215447
8.4,0.18,0.42,5.1,0.036,7,21.7,0.9939,3.16,0.52,11.7,40.5704286562069
7,0.21,0.37,7.2,0.042,36,88.7,0.9958,3.26,0.56,9.8,55.4328288772712
6.8,0.25,0.38,8.1,0.046,24,63.5,0.9956,3.33,0.59,10.2,53.4875166092474
7.4,0.24,0.36,2,0.031,27,67.9,0.99055,3.28,0.48,12.5,84.5935697842612
7.1,0.16,0.36,10.7,0.044,20,49,0.9959,3.16,0.44,10.9,63.2551275911327
7.1,0.16,0.36,1.2,0.043,21,51,0.9925,3.16,0.42,11,63.233147942117
7.3,0.205,0.31,1.7,0.06,34,79,0.9963,3.72,0.69,10.5,55.0618008204004
7.4,0.17,0.4,5.5,0.037,34,84.1,0.9935,3.05,0.62,11.5,34.6336073503243
7.3,0.3,0.34,2.7,0.044,34,78.8,0.99105,3.36,0.53,12.8,75.3923291962444
6.9,0.25,0.34,1.3,0.035,27,62.2,0.99045,3.18,0.44,12.2,53.8249715521104
7.3,0.205,0.31,1.7,0.06,34,79,0.9963,3.72,0.69,10.5,55.0618008204004
7.5,0.42,0.34,4.3,0.04,34,78.8,0.99155,3.14,0.45,12.8,75.2232758719291
7.3,0.25,0.36,2.1,0.034,30,77.7,0.99085,3.25,0.4,11.9,74.8104980680135
7.3,0.25,0.36,2.1,0.034,30,77.7,0.99085,3.25,0.4,11.9,74.8104980680135
7.3,0.25,0.36,2.1,0.034,30,77.7,0.99085,3.25,0.4,11.9,74.8104980680135
7.5,0.34,0.35,6,0.034,12,36.6,0.9924,3.16,0.39,12,61.6363039953495
7.6,0.33,0.35,6.3,0.036,12,36.6,0.9924,3.16,0.39,12,61.6552407161911
8.7,0.23,0.32,13.4,0.044,35,86.9,0.99975,3.12,0.47,8.8,65.5874715580763
8.7,0.23,0.32,13.4,0.044,35,86.9,0.99975,3.12,0.47,8.8,65.5874715580763
6.9,0.19,0.35,1.7,0.036,33,76.1,0.99315,3.21,0.54,10.8,65.119865690079
7.3,0.21,0.29,1.6,0.034,29,69.8,0.9917,3.3,0.5,11,74.707933605022
7.3,0.21,0.29,1.6,0.034,29,69.8,0.9917,3.3,0.5,11,74.707933605022
6.6,0.22,0.37,15.4,0.035,62,139.3,0.99845,3.02,0.4,9.3,49.4461564980548
9.2,0.34,0.27,1.2,0.026,17,41.3,0.9921,3.08,0.39,10.8,41.85377401822
8.7,0.23,0.32,13.4,0.044,35,86.9,0.99975,3.12,0.47,8.8,65.5874715580763
6,0.2,0.24,1.8,0.03,30,70.5,0.9909,3.31,0.47,11.5,54.4067762658023
6.9,0.19,0.35,1.7,0.036,33,76.1,0.99315,3.21,0.54,10.8,65.119865690079
8.2,0.38,0.49,13.6,0.042,58,132.6,0.99855,3.1,0.54,9.4,48.5435841949318
6.9,0.18,0.36,1.3,0.036,40,91.7,0.9934,3.27,0.95,9.5,66.2479643253999
7.7,0.34,0.58,11.1,0.039,41,97.1,0.9978,3.06,0.49,8.6,45.8441330186429
6.9,0.18,0.36,1.3,0.036,40,91.7,0.9934,3.27,0.95,9.5,66.2479643253999
7.4,0.2,0.35,2.1,0.038,30,71.6,0.9949,3.49,0.77,10.3,64.668589534669
8.2,0.38,0.49,13.6,0.042,58,132.6,0.99855,3.1,0.54,9.4,48.5435841949318
8.2,0.4,0.48,13.7,0.042,59,134.9,0.9986,3.1,0.52,9.4,48.6756177573659
6.7,0.22,0.39,10.2,0.038,60,134.9,0.99725,3.17,0.54,10,69.5281788295526
6.6,0.3,0.3,4.8,0.17,60,136.6,0.9946,3.18,0.47,9.4,48.733328029041
8.1,0.27,0.35,1.7,0.03,38,86.3,0.99255,3.22,0.63,10.4,76.0460635488373
7.3,0.25,0.42,14.2,0.041,57,132.2,0.9996,3.29,0.75,9.1,69.0954892344594
4.8,0.34,0,6.5,0.028,33,82.3,0.9939,3.36,0.61,9.9,54.7822810265763
6.2,0.28,0.33,1.7,0.029,24,59.1,0.99,3.24,0.5,12.1,53.3232460101902
4.8,0.33,0,6.5,0.028,34,84.3,0.9937,3.35,0.61,9.9,44.7128537163553
6.1,0.27,0.33,2.2,0.021,26,63.7,0.9886,3.12,0.3,12.5,53.6566012956164
6.9,0.18,0.36,1.3,0.036,40,91.7,0.9934,3.27,0.95,9.5,66.2479643253999
7.8,0.18,0.46,12.6,0.042,41,96.3,1,3.24,0.76,8.5,76.8552017652929
7.3,0.28,0.42,14.4,0.04,49,115.3,0.9994,3.28,0.82,9,67.7818513238944
7.3,0.24,0.29,1.2,0.037,37,83.7,0.9926,3.19,0.7,10.1,55.4299318872068
6,0.45,0.65,9.7,0.08,11,37.9,0.9956,3.04,0.48,9.4,40.849325114314
7.7,0.34,0.58,11.1,0.039,41,97.1,0.9978,3.06,0.49,8.6,45.8441330186429
6.3,0.26,0.21,4,0.03,24,60.5,0.9915,3.06,0.34,10.7,53.3761919321978
10.3,0.17,0.47,1.4,0.037,5,13.3,0.9939,2.89,0.28,9.6,19.6769813468196
7.7,0.15,0.29,1.3,0.029,10,26.4,0.9932,3.35,0.39,10.1,41.0501658197407
7.1,0.21,0.32,2.2,0.037,28,70.1,0.993,3.2,0.57,10,64.3032230258595
6.9,0.36,0.34,4.2,0.018,57,125.9,0.9898,3.28,0.36,12.7,89.244056773315
6,0.28,0.34,1.6,0.119,33,76.4,0.9921,3.19,0.38,10.2,54.6831966004442
6.2,0.16,0.54,1.4,0.126,37,85,0.9932,3.23,0.37,8.9,55.4869478131615
6.9,0.12,0.36,2.2,0.037,18,47.1,0.9919,3.41,0.82,11.9,73.1103777218581
7.1,0.21,0.32,2.2,0.037,28,70.1,0.993,3.2,0.57,10,64.3032230258595
8.8,0.36,0.44,1.9,0.04,9,30.1,0.9953,3.19,0.48,9.9,50.8067246901338
7.4,0.26,0.43,6,0.022,22,56.5,0.9928,3.13,0.55,11.5,53.1057610788159
7.4,0.26,0.43,6,0.022,22,56.5,0.9928,3.13,0.55,11.5,53.1057610788159
6.8,0.23,0.29,12.2,0.035,38,99.6,0.9976,3.35,0.52,9.8,55.8353679849572
6.1,0.34,0.27,2.6,0.024,20,50.5,0.9906,3.4,0.67,12.2,62.882748355607
7.3,0.26,0.31,1.6,0.04,39,95.3,0.9918,3.19,0.51,11.4,55.7240637492668
6.5,0.3,0.32,2,0.044,34,77,0.99185,3.37,0.68,11,65.1386475401504
7.3,0.26,0.31,1.6,0.04,39,95.3,0.9918,3.19,0.51,11.4,55.7240637492668
6.5,0.3,0.32,2,0.044,34,77,0.99185,3.37,0.68,11,65.1386475401504
5,0.31,0,6.4,0.046,43,102.6,0.994,3.3,0.63,9.9,56.3953910147322
5.8,0.26,0.18,1.2,0.031,40,91.4,0.9908,3.42,0.4,11,66.1550545965324
5.9,0.26,0.3,1,0.036,38,87.4,0.9928,3.58,0.48,9.4,45.362632595061
7,0.31,0.29,1.4,0.037,33,78.8,0.9896,3.12,0.36,12.2,64.9282168837774
5.8,0.26,0.18,1.2,0.031,40,91.4,0.9908,3.42,0.4,11,66.1550545965324
5.6,0.19,0.39,1.1,0.043,17,40.7,0.9918,3.23,0.53,10.3,52.3168705699259
6.8,0.18,0.28,8.7,0.047,52,128.2,0.9952,3.22,0.53,10.5,58.045036424203
7,0.29,0.26,1.6,0.044,12,32.7,0.9923,3.08,0.46,10.5,51.368196157784
6.6,0.26,0.29,1.4,0.039,13,32.7,0.9915,3.05,0.49,10.9,51.5665635537298
6.8,0.18,0.28,8.5,0.047,52,128.2,0.9952,3.22,0.53,10.5,58.0412084327903
6.6,0.2,0.38,7.9,0.052,30,74.5,0.9947,3.32,0.56,11,64.7480426870684
8,0.29,0.29,13.2,0.046,26,63.3,0.9983,3.25,0.37,9.7,53.8370180244892
6.1,0.28,0.35,12.8,0.048,63,148.9,0.9975,3.08,0.4,8.9,49.4664167670102
5.9,0.31,0.3,7.7,0.047,60,140.6,0.995,3.2,0.39,9.6,59.106077076381
6.9,0.21,0.28,2.4,0.056,49,113.9,0.9944,3.02,0.47,8.8,77.856036962984
8.4,0.19,0.42,1.6,0.047,9,28.1,0.994,3.06,0.65,11.1,30.5449993912101
8.3,0.27,0.45,1.3,0.048,8,23.2,0.9944,3.08,0.61,10.3,30.2642937685077
7.1,0.25,0.39,2.1,0.036,30,72.4,0.9908,3.28,0.43,12.2,74.8121263631135
8,0.23,0.37,9.6,0.054,23,61.9,0.99795,3.32,0.47,9.8,32.8957210433295
7.5,0.24,0.31,13,0.049,46,113.7,0.9985,3.08,0.53,8.8,46.8235384996445
6.3,0.33,0.2,5.8,0.04,24,62.4,0.99425,3.15,0.63,9.9,43.0705792408542
6.2,0.33,0.19,5.6,0.042,22,58.3,0.99425,3.15,0.63,9.9,42.7472718404113
6.3,0.34,0.19,5.8,0.041,22,58.5,0.9943,3.15,0.63,9.9,42.7371941191393
5.8,0.29,0.05,0.8,0.038,11,25,0.9924,3.36,0.35,9.2,40.9951201531859
8,0.32,0.26,1.2,0.05,11.5,31.8,0.9946,3.24,0.37,9.5,30.7686830849434
5.6,0.29,0.05,0.8,0.038,11,25,0.9924,3.36,0.35,9.2,40.9951201531859
7.4,0.13,0.39,4.7,0.042,36,85.7,0.995,3.36,0.56,10.3,65.7557562827699
7.7,0.3,0.32,1.6,0.037,23,58.4,0.9919,2.93,0.33,11,53.0892729980679
7,0.24,0.34,1.4,0.031,27,64.7,0.99,3.06,0.39,11.9,53.8295528729028
8.6,0.18,0.4,1.1,0.04,20,50.7,0.9923,2.94,0.32,10.2,63.0170114240795
7,0.11,0.32,4.6,0.057,59,132.4,0.9956,3.55,0.44,9.4,69.4574924062708
7.7,0.32,0.62,10.6,0.036,56,127.3,0.9978,3.13,0.44,8.9,58.5026942702977
7.7,0.32,0.62,10.6,0.036,56,127.3,0.9978,3.13,0.44,8.9,58.5026942702977
6.5,0.26,0.27,12.9,0.044,69,159.5,0.9967,3.17,0.43,10,60.7100006731488
7.9,0.28,0.41,2,0.044,50,115.2,0.9934,3.45,0.49,10.7,77.9639341803974
6.3,0.27,0.23,2.9,0.047,13,36,0.9936,3.28,0.43,9.8,41.3626702091771
5.4,0.595,0.1,2.8,0.042,26,60,0.9932,3.36,0.38,9.3,42.9707201744555
6.7,0.25,0.33,2.9,0.057,52,121.3,0.9934,3.02,0.48,9.5,68.0408121156969
6.5,0.25,0.35,12,0.055,47,111.9,0.998,3.58,0.47,10,47.0054281809596
6.1,0.36,0.58,15,0.044,42,95.5,0.9978,3.15,0.51,9,46.0562226895839
7.7,0.17,0.52,5.9,0.017,21,50.4,0.9929,3.14,0.4,11.9,63.3210508902537
6.4,0.26,0.43,12.6,0.033,64,151,0.9974,3.08,0.38,8.9,49.6598945763578
6.5,0.26,0.28,12.5,0.046,80,182.5,0.99685,3.18,0.41,10,62.4524441036221
5.9,0.29,0.33,7.4,0.037,58,136.5,0.99495,3.26,0.41,9.6,48.5832046870458
6.2,0.28,0.43,13,0.039,64,151.3,0.99745,3.08,0.38,8.9,49.6340515942209
6.1,0.27,0.44,6.7,0.041,61,145,0.99505,3.12,0.4,8.9,49.0539708511687
6.4,0.43,0.32,1.4,0.048,10,26.7,0.992,3.08,0.41,11.4,40.5953737684172
6.1,0.36,0.58,15,0.044,42,95.5,0.9978,3.15,0.51,9,46.0562226895839
6.2,0.35,0.29,7.3,0.044,56,136.4,0.9956,3.36,0.55,10,58.4254804479006
7.7,0.24,0.29,15.3,0.044,39,97.4,0.9982,3.06,0.47,9.6,66.2390205135355
6.2,0.34,0.28,7.5,0.034,40,99.7,0.99485,3.14,0.6,9.7,45.6359931771839
6.3,0.27,0.46,11.75,0.037,61,143.2,0.9971,3.25,0.53,9.5,59.4110121995828
5.4,0.415,0.19,1.6,0.039,27,62.8,0.99265,3.54,0.41,10,63.8762631444799
6.9,0.48,0.36,3.5,0.03,31,75.5,0.9904,3.14,0.38,12.2,64.4075837878723
6.5,0.18,0.33,8,0.051,16,45.1,0.9965,3.28,0.44,8.7,62.5481338494129
6.7,0.15,0.29,5,0.058,28,66.5,0.9946,3.52,0.44,10.2,64.4696809528515
8.2,0.345,1,18.2,0.047,55,130.5,0.99965,2.96,0.43,9.6,48.1735422147677
8.5,0.16,0.35,1.6,0.039,24,62.7,0.9935,2.96,0.36,10,43.2127217112632
6.8,0.705,0.25,3.2,0.048,10,25.7,0.996,3.36,0.52,9.5,30.0219481125625
7.3,0.25,0.39,6.4,0.034,8,24.4,0.9942,3.18,0.46,11.5,40.6566664536644
7.6,0.345,0.26,1.9,0.043,15,43.4,0.9936,3.08,0.38,9.5,41.5297190944866
7.6,0.22,0.34,9.7,0.035,26,66.3,0.9965,3.08,0.49,9.8,53.8581285383994
6.5,0.17,0.33,1.4,0.028,14,37.9,0.9928,3.23,0.55,10.1,51.8863953688871
8.2,0.23,0.37,1.3,0.042,39,89.7,0.9928,2.99,0.36,10,45.4928490139797
7.6,0.22,0.34,9.7,0.035,26,66.3,0.9965,3.08,0.49,9.8,53.8581285383994
7.6,0.345,0.26,1.9,0.043,15,43.4,0.9936,3.08,0.38,9.5,41.5297190944866
7.5,0.32,0.26,1.8,0.042,13,39.3,0.9938,3.07,0.38,9.5,41.2455511215354
6.6,0.23,0.32,0.9,0.041,25,57.9,0.9926,3.39,0.54,10.2,63.7922767844797
6.6,0.2,0.32,1.1,0.039,25,57.8,0.9926,3.39,0.54,10.2,63.8413765491088
7.3,0.24,0.34,15.4,0.05,38,93.4,0.9983,3.03,0.42,9,55.8308052406192
7.3,0.24,0.34,15.4,0.05,38,93.4,0.9983,3.03,0.42,9,55.8308052406192
8,0.42,0.36,5,0.037,34,78.1,0.992,3.13,0.57,12.3,64.9951934067549
7.3,0.24,0.34,15.4,0.05,38,93.4,0.9983,3.03,0.42,9,55.8308052406192
6.1,0.19,0.25,4,0.023,23,57.2,0.9923,3.37,0.51,11.6,53.3616996147382
5.9,0.26,0.21,12.5,0.034,36,87.2,0.9972,3.28,0.43,9.5,55.4727967521469
8.3,0.23,0.43,3.2,0.035,14,38.1,0.9928,3.15,0.36,11.5,41.5741999468117
6.5,0.34,0.28,1.8,0.041,43,104.8,0.9928,3.13,0.37,9.6,56.2400457887976
6.8,0.22,0.35,17.5,0.039,38,91.3,0.9994,3.24,0.42,9,55.9337244529699
6.5,0.08,0.33,1.9,0.028,23,55.3,0.991,3.34,0.7,12,63.7152559352926
5.5,0.42,0.09,1.6,0.019,18,42.8,0.9906,3.33,0.51,11.4,62.4272162022778
5.1,0.42,0.01,1.5,0.017,25,60.2,0.9894,3.38,0.36,12.3,63.5485748184464
6,0.27,0.19,1.7,0.02,24,59,0.9898,3.32,0.47,12.6,63.5990964965299
6.8,0.22,0.35,17.5,0.039,38,91.3,0.9994,3.24,0.42,9,55.9337244529699
6.5,0.08,0.33,1.9,0.028,23,55.3,0.991,3.34,0.7,12,63.7152559352926
7.1,0.13,0.38,1.8,0.046,14,39.4,0.9925,3.32,0.9,11.7,51.9497357356321
7.6,0.3,0.25,4.3,0.054,22,55.1,0.9956,3.12,0.49,9.2,42.7527128185161
6.6,0.13,0.3,4.9,0.058,47,107.1,0.9946,3.51,0.45,10.3,57.2772022927649
6.5,0.14,0.33,7.6,0.05,53,124.9,0.9966,3.25,0.49,8.6,48.0001219744077
7.7,0.28,0.33,6.7,0.037,32,79.5,0.9951,3.39,0.62,10.7,64.9467890287899
6,0.2,0.71,1.6,0.15,10,25.4,0.9927,3.12,0.47,9.8,40.8593718425513
6,0.19,0.71,1.5,0.152,9,23.5,0.9927,3.12,0.46,9.8,50.9534638657
7.7,0.28,0.33,6.7,0.037,32,79.5,0.9951,3.39,0.62,10.7,64.9467890287899
5.1,0.39,0.21,1.7,0.027,15,37.2,0.9894,3.5,0.45,12.5,51.7662993725947
5.7,0.36,0.34,4.2,0.026,21,49.7,0.9907,3.41,0.45,11.9,52.7996261303565
6.9,0.19,0.33,1.6,0.043,63,140.9,0.9925,3.44,0.52,10.8,49.4319691321989
6,0.41,0.21,1.9,0.05,29,70.2,0.9928,3.42,0.52,10.5,53.9425929344822
7.4,0.28,0.3,5.3,0.054,44,104.1,0.9941,3.12,0.48,10.3,56.5429641322021
7.4,0.3,0.3,5.2,0.053,45,106.3,0.9941,3.12,0.45,10.3,56.6716646190896
6.9,0.19,0.33,1.6,0.043,63,140.9,0.9925,3.44,0.52,10.8,49.4319691321989
7.7,0.28,0.39,8.9,0.036,8,27.7,0.9935,3.06,0.38,12,61.1283477970953
8.6,0.16,0.38,3.4,0.04,41,96.3,0.9932,2.95,0.39,10.2,56.1918554084328
8.2,0.26,0.44,1.3,0.046,7,20.9,0.9944,3.14,0.62,10.2,30.1288082516837
6.5,0.25,0.27,15.2,0.049,75,171.7,0.9972,3.19,0.39,9.9,51.4804223699863
7,0.24,0.18,1.3,0.046,9,24.2,0.994,3.38,0.47,10.1,30.5115197439815
8.6,0.18,0.36,1.8,0.04,24,66.7,0.9956,3.25,0.55,9.5,53.4640868189308
7.8,0.27,0.34,1.6,0.046,27,69.4,0.9927,3.05,0.45,10.5,53.7776322522316
6,0.26,0.34,1.3,0.046,6,14.9,0.9924,3.29,0.63,10.4,40.2322731907559
6.1,0.24,0.27,9.8,0.062,33,81.2,0.9966,3.31,0.47,9.5,54.9554376065436
8,0.24,0.3,17.45,0.056,43,104.4,0.9997,3.05,0.5,9.2,56.6647893282546
7.6,0.21,0.6,2.1,0.046,47,110.5,0.9936,3.05,0.54,10.1,67.2939676322855
8,0.19,0.36,1.8,0.05,16,40.4,0.9936,3.15,0.45,9.8,62.3988879671363
6.4,0.28,0.41,6.8,0.045,61,143.6,0.9952,3.09,0.46,9.4,49.035374181091
6.4,0.28,0.43,7.1,0.045,60,142.1,0.9952,3.09,0.45,9.4,59.1234953271501
6.9,0.24,0.39,1.3,0.063,18,49.6,0.9928,3.31,0.48,10.4,62.6443429658502
5.8,0.36,0.26,3.3,0.038,40,95.3,0.9911,3.34,0.55,11.3,55.7905665860923
6.6,0.18,0.28,3.3,0.044,18,45.1,0.993,3.42,0.64,10.8,52.5578197116786
5.8,0.36,0.26,3.3,0.038,40,95.3,0.9911,3.34,0.55,11.3,55.7905665860923
5.1,0.52,0.06,2.7,0.052,30,67.9,0.9932,3.32,0.43,9.3,43.7038016982184
6.6,0.22,0.37,1.2,0.059,45,109.9,0.993,3.37,0.55,10.3,66.9790280139365
8.3,0.15,0.39,1.3,0.055,32,78.6,0.993,3.08,0.39,10.5,54.7391930498846
7.6,0.16,0.44,1.4,0.043,25,60.9,0.9932,3.11,0.75,10.3,53.6236821496683
7.7,0.16,0.41,1.7,0.048,60,137.3,0.9932,3.24,0.66,11.2,69.4542794641618
8.3,0.16,0.48,1.7,0.057,31,71.8,0.9943,3.15,0.41,10.3,54.5783577832138
6.2,0.25,0.47,11.6,0.048,62,145,0.9968,3.19,0.5,9.5,49.3391302045442
6.1,0.16,0.27,12.6,0.064,63,142.2,0.9994,3.66,0.43,8.9,49.6998417593494
7.6,0.39,0.22,2.8,0.036,19,49.3,0.9926,3.03,0.29,10.2,42.1173950125788
6.8,0.37,0.47,11.2,0.071,44,101.6,0.9968,2.98,0.88,9.2,46.2493723046193
7.6,0.16,0.44,1.4,0.043,25,60.9,0.9932,3.11,0.75,10.3,53.6236821496683
7.1,0.18,0.42,1.4,0.045,47,109.7,0.9916,2.95,0.31,10.5,57.0747450318636
8.3,0.14,0.26,1.5,0.049,56,130.9,0.9946,3.21,0.62,9.5,58.6000202395179
8.6,0.2,0.42,1.5,0.041,35,82.5,0.9925,3.11,0.49,11.4,65.4023000822895
8.6,0.2,0.42,1.5,0.041,35,82.5,0.9925,3.11,0.49,11.4,65.4023000822895
6.8,0.19,0.32,7.05,0.019,54,126.8,0.9935,3.25,0.37,11.1,78.8237502950516
7.6,0.19,0.38,10.6,0.06,48,113.4,0.9962,3.13,0.38,10.5,57.4077399381578
6.8,0.34,0.74,2.8,0.088,23,64.5,0.9928,3.51,0.7,12,53.0799422691368
6.2,0.15,0.46,1.6,0.039,38,88.3,0.993,3.38,0.51,9.7,55.7466019262195
6.6,0.14,0.44,1.6,0.042,47,108,0.993,3.32,0.51,10.2,57.1843522557523
8,0.55,0.17,8.2,0.04,13,32,0.9956,3.09,0.3,9.5,30.7957472129061
7,0.24,0.35,1.5,0.052,51,114.8,0.9941,3.41,0.59,10.4,67.9206966492193
6.3,0.6,0.44,11,0.05,50,124.5,0.9972,3.19,0.57,9.3,36.6637007818437
7.1,0.2,0.41,2.1,0.054,24,64.6,0.9948,3.48,0.62,10.5,53.4579164832251
6.2,0.34,0.29,7.6,0.047,45,113.2,0.9955,3.35,0.62,10,56.6919688203723
7.1,0.3,0.36,6.8,0.055,44.5,112.4,0.9972,3.49,0.64,10.2,56.6656127927206
7.1,0.3,0.36,6.8,0.055,44.5,112.4,0.9972,3.49,0.64,10.2,56.6656127927206
7.9,0.64,0.46,10.6,0.244,33,88.7,0.9983,2.87,0.74,9.1,23.4724993197537
8.8,0.17,0.38,1.8,0.04,39,92.8,0.9942,3.16,0.67,10.2,55.8542290367705
7.5,0.17,0.37,1.5,0.06,18,43.5,0.9936,3.54,0.88,10.7,42.297509619348
7.1,0.47,0.24,6,0.044,11,29.7,0.9956,3.21,0.56,9.7,40.8046839688995
7.1,0.15,0.34,5.3,0.034,33,76.4,0.9953,3.37,0.52,9.3,65.2685971093087
7.5,0.17,0.34,1.4,0.035,13,36.2,0.9918,3.05,0.74,11,41.4579283954573
8.2,0.68,0.3,2.1,0.047,17,47.8,0.995,3.22,0.71,10.8,31.1337655906026
7.7,0.275,0.3,1,0.039,19,45.5,0.992,3.01,0.56,10.7,42.2447077792026
7.3,0.49,0.32,5.2,0.043,18,46.4,0.9952,3.24,0.45,10.7,31.6348292483198
7.5,0.33,0.48,19.45,0.048,55,134.3,1.001,2.95,0.4,8.8,48.2286827777341
7.2,0.21,0.37,1.6,0.049,23,55.4,0.9924,3.16,0.48,10.9,63.4815126931629
7.3,0.15,0.4,2,0.05,24,57.2,0.9932,3.14,0.45,10.5,43.2482838581819
6.5,0.19,0.1,1.3,0.046,23,56.7,0.9937,3.29,0.45,10,43.0450996708174
7,0.31,0.52,1.7,0.029,5,16.1,0.9918,3.07,0.43,10.4,39.9887853984338
8.3,0.4,0.38,1.1,0.038,15,37.5,0.9934,3.03,0.43,9.2,41.4288138787531
6.1,0.37,0.36,4.7,0.035,36,83.6,0.991,3.31,0.62,12.6,55.1624726695414
7.3,0.24,0.34,7.5,0.048,29,73.2,0.9962,3.1,0.54,9,44.0154731268259
6.9,0.21,0.81,1.1,0.137,52,116.3,0.9932,3.03,0.39,9.2,57.7568647875909
7.6,0.29,0.42,1.3,0.035,18,44.6,0.9908,2.99,0.39,11.3,42.0671742811856
9.4,0.29,0.55,2.2,0.05,17,45.9,0.9962,3.12,0.69,10.3,31.6858650166009
7,0.31,0.52,1.7,0.029,5,16.1,0.9918,3.07,0.43,10.4,39.9887853984338
8.6,0.26,0.41,2.2,0.049,29,69.1,0.9941,2.96,0.44,10,43.8653171328255
7.5,0.21,0.34,1.2,0.06,26,63.1,0.9931,3.51,0.47,10.7,53.7452936853435
7.2,0.51,0.24,10,0.093,35,89.7,0.9981,3.41,0.47,9,44.631877870938
7.5,0.21,0.34,1.2,0.06,26,63.1,0.9931,3.51,0.47,10.7,53.7452936853435
5.3,0.3,0.2,1.1,0.077,48,112.6,0.9944,3.3,0.54,8.7,36.5939928041678
8,0.26,0.36,2,0.054,30,72.1,0.992,3.09,0.72,11.6,64.5180751878925
7,0.21,0.28,7.5,0.07,45,108.5,0.9966,3.34,0.55,9.4,46.6207536952958
